# RvB, Thu Jun 26 16:41:55 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         49.90 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    4.92735658e+01
    1.00031103e+00    4.92734495e+01
    1.00051871e+00    4.92733332e+01
    1.00072643e+00    4.92732170e+01
    1.00093420e+00    4.92731008e+01
    1.00114201e+00    4.92729846e+01
    1.00134986e+00    4.92728685e+01
    1.00155775e+00    4.92727525e+01
    1.00176569e+00    4.92726365e+01
    1.00197367e+00    4.92725205e+01
    1.00218169e+00    4.92724047e+01
    1.00238976e+00    4.92722888e+01
    1.00259787e+00    4.92721730e+01
    1.00280603e+00    4.92720573e+01
    1.00301422e+00    4.92719415e+01
    1.00322246e+00    4.92718259e+01
    1.00343075e+00    4.92717103e+01
    1.00363907e+00    4.92715947e+01
    1.00384744e+00    4.92714792e+01
    1.00405585e+00    4.92713637e+01
    1.00426431e+00    4.92712483e+01
    1.00447281e+00    4.92711330e+01
    1.00468135e+00    4.92710177e+01
    1.00488994e+00    4.92709024e+01
    1.00509857e+00    4.92707872e+01
    1.00530724e+00    4.92706720e+01
    1.00551596e+00    4.92705568e+01
    1.00572472e+00    4.92704418e+01
    1.00593352e+00    4.92703268e+01
    1.00614236e+00    4.92702118e+01
    1.00635125e+00    4.92700969e+01
    1.00656019e+00    4.92699820e+01
    1.00676916e+00    4.92698672e+01
    1.00697818e+00    4.92697524e+01
    1.00718725e+00    4.92696376e+01
    1.00739635e+00    4.92695230e+01
    1.00760550e+00    4.92694083e+01
    1.00781469e+00    4.92692937e+01
    1.00802393e+00    4.92691792e+01
    1.00823321e+00    4.92690647e+01
    1.00844253e+00    4.92689502e+01
    1.00865190e+00    4.92688358e+01
    1.00886131e+00    4.92687215e+01
    1.00907077e+00    4.92686072e+01
    1.00928026e+00    4.92684929e+01
    1.00948980e+00    4.92683787e+01
    1.00969939e+00    4.92682646e+01
    1.00990902e+00    4.92681505e+01
    1.01011869e+00    4.92680364e+01
    1.01032840e+00    4.92679224e+01
    1.01053816e+00    4.92678084e+01
    1.01074796e+00    4.92676945e+01
    1.01095781e+00    4.92675806e+01
    1.01116770e+00    4.92674668e+01
    1.01137763e+00    4.92673530e+01
    1.01158761e+00    4.92672393e+01
    1.01179763e+00    4.92671256e+01
    1.01200769e+00    4.92670120e+01
    1.01221780e+00    4.92668984e+01
    1.01242795e+00    4.92667849e+01
    1.01263814e+00    4.92666714e+01
    1.01284838e+00    4.92665580e+01
    1.01305866e+00    4.92664446e+01
    1.01326899e+00    4.92663312e+01
    1.01347936e+00    4.92662179e+01
    1.01368977e+00    4.92661047e+01
    1.01390022e+00    4.92659915e+01
    1.01411072e+00    4.92658783e+01
    1.01432127e+00    4.92657652e+01
    1.01453186e+00    4.92656522e+01
    1.01474249e+00    4.92655392e+01
    1.01495316e+00    4.92654262e+01
    1.01516388e+00    4.92653133e+01
    1.01537464e+00    4.92652004e+01
    1.01558545e+00    4.92650876e+01
    1.01579630e+00    4.92649748e+01
    1.01600719e+00    4.92648621e+01
    1.01621813e+00    4.92647494e+01
    1.01642911e+00    4.92646368e+01
    1.01664014e+00    4.92645242e+01
    1.01685121e+00    4.92644117e+01
    1.01706232e+00    4.92642992e+01
    1.01727347e+00    4.92641867e+01
    1.01748467e+00    4.92640743e+01
    1.01769592e+00    4.92639620e+01
    1.01790721e+00    4.92638497e+01
    1.01811854e+00    4.92637374e+01
    1.01832991e+00    4.92636252e+01
    1.01854133e+00    4.92635131e+01
    1.01875280e+00    4.92634010e+01
    1.01896431e+00    4.92632889e+01
    1.01917586e+00    4.92631769e+01
    1.01938745e+00    4.92630649e+01
    1.01959909e+00    4.92629530e+01
    1.01981077e+00    4.92628411e+01
    1.02002250e+00    4.92627293e+01
    1.02023427e+00    4.92626175e+01
    1.02044609e+00    4.92625058e+01
    1.02065795e+00    4.92623941e+01
    1.02086985e+00    4.92622824e+01
    1.02108180e+00    4.92621708e+01
    1.02129379e+00    4.92620593e+01
    1.02150582e+00    4.92619478e+01
    1.02171790e+00    4.92618363e+01
    1.02193002e+00    4.92617249e+01
    1.02214219e+00    4.92616136e+01
    1.02235440e+00    4.92615023e+01
    1.02256666e+00    4.92613910e+01
    1.02277896e+00    4.92612798e+01
    1.02299130e+00    4.92611686e+01
    1.02320369e+00    4.92610575e+01
    1.02341612e+00    4.92609464e+01
    1.02362860e+00    4.92608354e+01
    1.02384112e+00    4.92607244e+01
    1.02405368e+00    4.92606135e+01
    1.02426629e+00    4.92605026e+01
    1.02447894e+00    4.92603917e+01
    1.02469164e+00    4.92602809e+01
    1.02490438e+00    4.92601701e+01
    1.02511716e+00    4.92600594e+01
    1.02532999e+00    4.92599488e+01
    1.02554286e+00    4.92598382e+01
    1.02575578e+00    4.92597276e+01
    1.02596874e+00    4.92596171e+01
    1.02618175e+00    4.92595066e+01
    1.02639480e+00    4.92593962e+01
    1.02660789e+00    4.92592858e+01
    1.02682103e+00    4.92591755e+01
    1.02703421e+00    4.92590652e+01
    1.02724744e+00    4.92589549e+01
    1.02746071e+00    4.92588447e+01
    1.02767402e+00    4.92587346e+01
    1.02788738e+00    4.92586245e+01
    1.02810079e+00    4.92585144e+01
    1.02831424e+00    4.92584044e+01
    1.02852773e+00    4.92582944e+01
    1.02874127e+00    4.92581845e+01
    1.02895485e+00    4.92580747e+01
    1.02916847e+00    4.92579648e+01
    1.02938214e+00    4.92578550e+01
    1.02959586e+00    4.92577453e+01
    1.02980962e+00    4.92576356e+01
    1.03002342e+00    4.92575260e+01
    1.03023727e+00    4.92574164e+01
    1.03045116e+00    4.92573068e+01
    1.03066509e+00    4.92571973e+01
    1.03087907e+00    4.92570879e+01
    1.03109310e+00    4.92569785e+01
    1.03130717e+00    4.92568691e+01
    1.03152128e+00    4.92567598e+01
    1.03173544e+00    4.92566505e+01
    1.03194964e+00    4.92565413e+01
    1.03216389e+00    4.92564321e+01
    1.03237818e+00    4.92563230e+01
    1.03259252e+00    4.92562139e+01
    1.03280690e+00    4.92561048e+01
    1.03302133e+00    4.92559958e+01
    1.03323580e+00    4.92558869e+01
    1.03345031e+00    4.92557780e+01
    1.03366487e+00    4.92556691e+01
    1.03387947e+00    4.92555603e+01
    1.03409412e+00    4.92554515e+01
    1.03430881e+00    4.92553428e+01
    1.03452355e+00    4.92552341e+01
    1.03473833e+00    4.92551255e+01
    1.03495316e+00    4.92550169e+01
    1.03516803e+00    4.92549083e+01
    1.03538294e+00    4.92547998e+01
    1.03559790e+00    4.92546914e+01
    1.03581291e+00    4.92545830e+01
    1.03602796e+00    4.92544746e+01
    1.03624305e+00    4.92543663e+01
    1.03645819e+00    4.92542580e+01
    1.03667337e+00    4.92541498e+01
    1.03688860e+00    4.92540416e+01
    1.03710388e+00    4.92539335e+01
    1.03731919e+00    4.92538254e+01
    1.03753456e+00    4.92537174e+01
    1.03774996e+00    4.92536094e+01
    1.03796541e+00    4.92535014e+01
    1.03818091e+00    4.92533935e+01
    1.03839645e+00    4.92532857e+01
